url,born,height,weight,games,debut,last
https://afltables.com/afl/stats/players/T/Tom_Allsop.html,1929-09-02,178,76,58,1949-08-06,1954-08-28
https://afltables.com/afl/stats/players/N/Noel_Alsop.html,1914-12-24,178,70,7,1937-06-19,1938-04-23
https://afltables.com/afl/stats/players/R/Ron_Alsop.html,1916-04-25,168,65,2,1944-05-06,1944-05-13
https://afltables.com/afl/stats/players/J/John_Altmann.html,1916-12-08,180,81,3,1944-08-19,1944-09-02
https://afltables.com/afl/stats/players/M/Mark_Alves.html,1956-12-19,180,82,4,1977-07-16,1977-08-06
https://afltables.com/afl/stats/players/S/Stan_Alves.html,1946-05-22,178,78,266,1965-05-29,1979-09-22
https://afltables.com/afl/stats/players/M/Mark_Alvey.html,1980-06-10,177,76,59,1998-05-29,2005-06-10
https://afltables.com/afl/stats/players/N/Norm_Alvin.html,1916-05-31,178,80,6,1942-05-09,1944-06-17
https://afltables.com/afl/stats/players/T/Tom_Alvin.html,1962-04-21,183,81,218,1984-03-31,1994-09-11
https://afltables.com/afl/stats/players/J/Jim_Ambler.html,1887-08-23,178,0,6,1912-06-03,1912-08-31
https://afltables.com/afl/stats/players/P/Patrick_Ambrose.html,1991-09-01,191,92,83,2014-03-21,2019-08-03
https://afltables.com/afl/stats/players/R/Richard_Ambrose.html,1972-06-10,191,92,3,1993-06-13,1993-07-02
https://afltables.com/afl/stats/players/B/Bill_Amery.html,1894-09-16,NA,NA,4,1915-05-01,1915-06-12
https://afltables.com/afl/stats/players/L/Les_Amery.html,1934-12-17,170,81,4,1956-05-12,1956-06-09
https://afltables.com/afl/stats/players/L/Les_Ames.html,1912-08-29,182,73,8,1931-07-11,1936-08-29
https://afltables.com/afl/stats/players/B/Bert_Amey.html,1924-11-25,166,60,3,1944-08-12,1944-08-26
https://afltables.com/afl/stats/players/K/Karl_Amon.html,1995-08-19,181,71,56,2015-05-17,2019-08-03
https://afltables.com/afl/stats/players/G/Geoff_Amoore.html,1964-05-03,188,75,5,1983-08-27,1984-08-25
https://afltables.com/afl/stats/players/M/Mark_Amos.html,1951-08-05,189,92,7,1970-05-30,1972-06-24
https://afltables.com/afl/stats/players/R/Robert_Amos.html,1955-07-11,180,73,54,1973-06-04,1979-06-23
https://afltables.com/afl/stats/players/E/Eric_Andersen.html,1904-07-02,179,74,24,1926-05-01,1930-06-21
https://afltables.com/afl/stats/players/A/Alby_Anderson.html,1901-06-11,183,83,14,1924-05-03,1926-09-11
https://afltables.com/afl/stats/players/A/Allan_Anderson.html,1944-02-04,178,73,4,1963-05-04,1963-06-01
https://afltables.com/afl/stats/players/B/Bernie_Anderson.html,1941-01-29,188,96,3,1959-08-22,1960-07-02
https://afltables.com/afl/stats/players/B/Bill_Anderson0.html,1878-07-01,NA,NA,1,1901-05-18,1901-05-18
https://afltables.com/afl/stats/players/B/Bill_Anderson1.html,1909-03-03,NA,NA,6,1932-07-30,1932-09-03
https://afltables.com/afl/stats/players/B/Billy_Anderson.html,1892-08-15,NA,NA,10,1912-06-03,1913-07-05
https://afltables.com/afl/stats/players/B/Brady_Anderson.html,1975-06-12,178,77,27,1998-03-27,2000-04-28
https://afltables.com/afl/stats/players/B/Bruce_Anderson0.html,1907-02-20,180,83,97,1931-05-16,1937-06-26
https://afltables.com/afl/stats/players/B/Bruce_Anderson1.html,1895-05-28,NA,NA,2,1919-06-28,1919-07-19
https://afltables.com/afl/stats/players/C/Charlie_Anderson.html,1903-08-19,183,77,16,1924-04-26,1927-06-11
https://afltables.com/afl/stats/players/C/Claude_Anderson.html,1924-04-11,183,76,2,1947-06-21,1947-08-23
https://afltables.com/afl/stats/players/C/Col_Anderson.html,1951-08-31,185,81,2,1972-06-03,1972-06-12
https://afltables.com/afl/stats/players/D/Dale_Anderson.html,1931-06-10,183,85,7,1953-04-18,1954-04-19
https://afltables.com/afl/stats/players/D/Dean_Anderson.html,1967-08-01,190,88,150,1988-07-30,1996-08-24
https://afltables.com/afl/stats/players/D/Doug_Anderson.html,1903-09-21,180,0,8,1925-08-01,1926-07-17
https://afltables.com/afl/stats/players/E/Ernest_Anderson.html,1877-08-17,NA,NA,1,1898-07-23,1898-07-23
https://afltables.com/afl/stats/players/F/Frank_Anderson0.html,1913-10-23,183,84,155,1934-07-14,1944-09-02
https://afltables.com/afl/stats/players/F/Frank_Anderson1.html,1916-05-02,173,77,8,1942-06-27,1944-07-22
